name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price
Handcuffs Unisex Water Resistant Waist Bag Fanny Pack with 4 Pockets for Outdoor Sports Running Travelling Hiking Walking ...;sports & fitness;All Sports, Fitness & Outdoors;https://m.media-amazon.com/images/I/31+l4jTbhJL._AC_UL320_.jpg;https://www.amazon.in/Handcuffs-Waist-Travelling-Lightweight-Black/dp/B09C6954M8/ref=sr_1_7545?qid=1679218503&s=sports&sr=1-7545;4.0;64;₹549,00;₹999,00
VIV Men's Hiking Trekking Ankle Boot;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/3146M7uDG1L._AC_UL320_.jpg;https://www.amazon.in/VIV-Brown-Synthetic-Leather-Hiking/dp/B0BMB3BXSY/ref=sr_1_8883?qid=1679147504&s=shoes&sr=1-8883;3.7;6;₹599,00;₹2,00
MISHMI TAKIN Men's Kameng Mid Event Waterproof Hiking Boot;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/314TQZf0MHL._AC_UL320_.jpg;https://www.amazon.in/Mishmi-Takin-Kameng-Waterproof-Hiking/dp/B06XFRR7ZD/ref=sr_1_9105?qid=1679147513&s=shoes&sr=1-9105;4.4;95;₹16,83;₹19,80
Right Products Waterproof & Reflective Backpack Cover Rain Cover,Anti-dust/Anti-Theft/Bicycling/Hiking/Camping/Traveling/O...;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/3157rG-JdDL._AC_UL320_.jpg;https://www.amazon.in/Right-Products-Waterproof-Reflective-Anti-Theft/dp/B07TZ8ZVT1/ref=sr_1_3942?qid=1679217573&s=sports&sr=1-3942;4.0;1;₹223,00;₹449,00
SHOOZ Men's Hiking & Trekking Shoes;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/31FvUE2G+lL._AC_UL320_.jpg;https://www.amazon.in/SHOOZ-Brown-Synthetic-Hiking-Tracking/dp/B0B9GYD6RM/ref=sr_1_8405?qid=1679147488&s=shoes&sr=1-8405;5.0;1;₹550,00;₹1,50
adidas Men's Modoc Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/31i1WYLhQKL._AC_UL320_.jpg;https://www.amazon.in/Adidas-Modoc-Hiking-Medlead-Univer/dp/B000O3OF68/ref=sr_1_7354?qid=1679149584&s=apparel&sr=1-7354;5.0;1;;₹45,391.46
Baba Shoes Latest Stylish Sports Shoes for Men,Lace-Up Lightweight Red Shoes for Running, Walking, Gym,Trekking and Hiking...;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/31pRn89F4WL._AC_UL320_.jpg;https://www.amazon.in/Shoes-Stylish-Lightweight-Trekking-Numeric_7/dp/B0BXH3MPWH/ref=sr_1_13329?qid=1679147665&s=shoes&sr=1-13329;;;₹2,19;₹2,59
ak ONLINE STORES Backpack Rain & Dust Cover Waterproof with Cary Pouch Adjustable for Hiking Camping Traveling 30L to 60L ...;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/31rP03RNZAL._AC_UL320_.jpg;https://www.amazon.in/ONLINE-STORES-Waterproof-Adjustable-Traveling/dp/B0B7XLYT27/ref=sr_1_7542?qid=1679217628&s=sports&sr=1-7542;;;₹247,00;₹599,00
Comfortable| Lightweight Sports Shoes for Running, Walking, Gym, Trekking, Hiking for Men;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/31xQ-i2fviL._AC_UL320_.jpg;https://www.amazon.in/Comfortable-Lightweight-Running-Walking-Trekking/dp/B0BHZDK5G1/ref=sr_1_15003?qid=1679147723&s=shoes&sr=1-15003;;;₹699,00;₹799,00
Qunan Waterproof Ripstop Tent Tarp i en Picnic Tarp Tent Mat Ab sion Resistant Beach Mat for Hiking T vel Bag;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/41-cXCVzkKL._AC_UL320_.jpg;https://www.amazon.in/Qunan-Waterproof-Ripstop-Picnic-Resistant/dp/B0BFPYZ1KB/ref=sr_1_6626?qid=1679217614&s=sports&sr=1-6626;;;₹4,824.74;₹8,041.23
